trip_distance,duration_seconds,MPH
18.69,1503,44.76646834504819
17.32,1393,44.760946806437325
19.09,1536,44.74218785762787
10.56,850,44.72470765955308
6.77,545,44.71926592905587
27.26,2195,44.70888420226633
17.77,1431,44.70440366732999
25.66,2067,44.69085604774242
17.7,1426,44.68443390363396
19.92,1606,44.65255309754558
18.27,1473,44.65173227966682
6.1,492,44.63414564365294
19.81,1598,44.62828415356231
10.41,840,44.61428506033761
97.58,7876,44.60233704822205
25.2,2034,44.601771261839744
18.18,1468,44.58310701541745
18.44,1489,44.58294286273165
11.54,932,44.57510714878852
24.33,1966,44.55137320719318
7.66,619,44.549272133576075
9.12,737,44.54816769065495
27,2182,44.54628780934922
18.4,1487,44.546064980974435
33,2667,44.544431946006746
18.83,1522,44.53876460272129
20.16,1630,44.525153037229195
16.42,1328,44.512048399592025
27.93,2260,44.49026597284638
18.19,1472,44.48641434959743
20.46,1656,44.47825887928838
13.4,1085,44.460828227381555
25.66,2080,44.41153819744404
11.83,959,44.40875883768696
19.29,1564,44.40153663420616
10.89,883,44.39864239633285
24.81,2012,44.39164914383329
27.74,2250,44.38399963378906
20.92,1697,44.37949338518456
17.7,1436,44.37326096558637
21.9,1777,44.36690975053966
15.08,1224,44.35294095207663
18.32,1487,44.3523866182698
11.95,970,44.35051475603556
24.92,2023,44.346020897013446
12.3,1000,44.28000068664551
17.59,1431,44.25157271091293
10.59,862,44.227378827513235
16.83,1370,44.22481731776774
19.95,1624,44.22413962227957
27.61,2248,44.21530346853453
5.49,447,44.2147632573275
18.9,1539,44.21052542346263
26.94,2194,44.204194130632374
9.3,758,44.16886634122099
10.24,835,44.14850200721604
9.59,782,44.148338298358574
20,1631,44.14469650521153
45.71,3728,44.14055705582123
7.28,594,44.121213392777875
20.38,1663,44.117857473697995
40.09,3272,44.108802123874206
28.67,2340,44.107692425067604
18.14,1481,44.094529238848324
1.2,98,44.081634404707934
18.33,1497,44.08016013716887
19.54,1596,44.07519003502408
17.92,1464,44.06557395809986
15.58,1273,44.05970127678067
20.34,1663,44.03126912165749
6.2,507,44.02366728472286
9.61,786,44.015265603101895
14.02,1147,44.00348879507342
17.89,1464,43.99180177782402
24.88,2037,43.97054343581727
16.66,1365,43.93846113603194
11.68,957,43.93730522323178
17.05,1397,43.937005907958465
6.59,540,43.93333435058594
11.67,957,43.899686807375346
11.73,962,43.896048183004964
5.34,438,43.89041221305116
23.1,1895,43.88390573788444
28.69,2354,43.87595663662168
9.31,764,43.86911192489544
25.46,2090,43.85454387756055
11.9,977,43.848514459272245
9.97,819,43.82417699792883
13.84,1137,43.82058095806192
12.57,1033,43.80638809425672
19.1,1570,43.7961792186567
10.19,838,43.775654521933035
11.78,969,43.76470489029545
19.22,1582,43.73704015681174
3.96,326,43.73006177094816
20.46,1685,43.712757687894104
11.86,977,43.70112463054051
23.56,1941,43.69706237887304
16.66,1373,43.682446795836555
10.74,886,43.63882525510766
2.92,241,43.61825840107138
12,991,43.59233097880928
16.49,1362,43.585902478726425
19.54,1614,43.58364516474501
18.7,1545,43.57281731170358
18.03,1490,43.56241776639183
10.78,891,43.55555447665128
9.01,745,43.53825613956324
24.2,2001,43.538232257162434
6.99,578,43.53633075436919
11.27,932,43.53219060938758
26.26,2172,43.524862257815194
6.19,512,43.52343790233135
18.52,1532,43.519583321115675
19.45,1609,43.51771457214545
17.5,1448,43.508287292817684
11.54,955,43.50157053682817
18.15,1503,43.473052978515625
24.96,2067,43.47169651867516
6.11,506,43.470356681130156
19.45,1611,43.463688855730624
7.29,604,43.45033089846175
18.8,1558,43.44030632440178
5.08,421,43.43942927634631
19.74,1636,43.43765230808398
18.7,1550,43.432259836504535
23.34,1935,43.423256097837935
17.7,1468,43.4059964213774
23.04,1911,43.40345541386626
11.96,992,43.403225944888206
16.42,1362,43.400881258926724
18.48,1533,43.39725919898942
10.98,911,43.3896798595508
9.99,829,43.38238742584486
8.94,742,43.374661036900115
22.66,1881,43.36842076059734
7.08,588,43.34693830840442
15.07,1252,43.33226749310478
19.1,1587,43.32703300144361
29.49,2451,43.31456514729718
10.9,906,43.31125676237195
19.5,1621,43.30660086366441
16.01,1331,43.302780483827654
19.7,1638,43.296704973493306
11.99,997,43.29388081848084
23.12,1923,43.28237286595956
11.02,917,43.26281531946479
17.46,1453,43.25946091128807
20.18,1680,43.24285779680525
17.77,1480,43.22432543780353
20.78,1732,43.19168733944794
16.89,1408,43.18465753035112
18.35,1530,43.17647148581112
32.2,2685,43.17318538047748
25.4,2118,43.17280388418743
34.61,2886,43.172557933910475
18.71,1561,43.1492611813591
11.23,937,43.14620955394961
11.06,923,43.13759643620814
10.17,849,43.12367523516867
11.33,946,43.11627877943108
18.55,1549,43.11168318490508
34.31,2866,43.09700102716248
30.93,2585,43.074661933707084
16.17,1352,43.05621322090104
18.37,1536,43.05468946695328
17.53,1466,43.04775066297669
17.06,1427,43.03854104932906
5.75,481,43.03534303534303
10.1,845,43.02958742401304
23.47,1964,43.020365340160986
28.75,2406,43.01745635910225
12.14,1016,43.01574924799401
17.67,1479,43.01014217353496
26.76,2240,43.00714322498867
20.5,1716,43.00699300699301
53.16,4450,43.00584257318732
14,1172,43.003412969283275
18.18,1522,43.001314782281746
11.67,977,43.00102382257748
25.88,2167,42.99399952873086
31.3,2621,42.99122367547423
19.74,1653,42.990925091364424
22.9,1918,42.98227248524973
15.85,1328,42.9668685039842
16.1,1349,42.96516039532321
7.9,662,42.960725594143135
12.04,1009,42.95738341196323
18.07,1515,42.93861313621596
17.29,1450,42.926898824757544
11.22,941,42.92454937439289
19.11,1603,42.9170319384065
17.31,1453,42.887816983752636
27.11,2276,42.88049305679509
27.06,2272,42.87675971716223
17.71,1487,42.87558621661167
17.09,1435,42.8738679786177
11.31,950,42.858948958547494
20.5,1722,42.857142857142854
20.58,1729,42.850202270296
27.5,2311,42.83859800951969
